filename,word_count,char_count,paragraph_count,document_type,number,year
Decreto 1194 - 1989_ocr.txt,455,18152,1,UNKNOWN,,
Decreto_1194_1989.txt,0,0,1,UNKNOWN,,
Decreto_3398_965.txt,2547,16377,1,DECRETO,3398,1965
Ley_48_1968.txt,2178,12998,1,DECRETO,2351,1965
